Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
09/27/01,08-01,"The One After ""I Do""",Kevin S. Bright,David Crane & Marta Kauffman,22,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,19.5/31,31.70 million,227401
10/04/01,08-02,The One with the Red Sweater,David Schwimmer,Dana Klein Borkow,22,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",18.9/31,30.04 million,227402
10/11/01,08-03,The One Where Rachel Tells...,Sheldon Epps,Sherry Bilsing & Ellen Plummer,22,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class. They try to sneak into the first-class lounge, but are caught - but she at least manages to steal an orange. Joey and Phoebe find that Monica and Chandler have tricked them out of the keys to the master apartment; Joey hopes a false gas leak alert will make super Treeger use his key, but he makes a fireman use an axe, and the wrecked door calls for a big lie. Rachel is finally ready to tell who the father is - the others say they already know, except daddy Ross, who thinks she just wants another passionate night with him. After blaming everything on the condom manufacturer - as neither he nor Joey ever read the notice they are only 97% effective - Ross promises Rachel full support, and of course proposes - which she turns down, as they aren't in love. She refuses to admit she won't cope on her own, although she can't even see their baby on the first ultrasound.",17.9/26,29.20 million,227403
10/18/01,08-04,The One with the Videotape,Kevin S. Bright,Scott Silveri,22,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",16.0/25,25.58 million,227406
10/25/01,08-05,The One with Rachel's Date,Gary Halvorson,Brian Buckner & Sebastian Jones,22,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on Days of Our Lives. Ross thinks it's weird because whoever takes Rachel out, takes his baby out too. He always pictured that his next child would grow up in a happy family. Rachel's date was terrible because she made the mistake of mentioning she was pregnant. Ross reassures her it isn't so bad because when she has the baby she will love someone more than she ever loved anyone.",16.1/25,25.64 million,227404
11/01/01,08-06,The One with the Halloween Party,Gary Halvorson,Mark Kunerth,22,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula.",16.8/25,26.96 million,227405
11/08/01,08-07,The One with the Stain,Kevin S. Bright,R. Lee Fleming Jr.,22,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe.",15.2/23,24.24 million,227407
11/15/01,08-08,The One with the Stripper,David Schwimmer,Andrew Reich & Ted Cohen,22,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid her dad will be really angry when she tells him she's pregnant. Mr. Green is delighted to hear he will be a grandfather, but freaks out when he finds out that Rachel isn't getting married - so she just tells him that Ross won't marry her. Monica feels bad about having had a bachelorette party, so she organizes a bachelor party including a stripper for Chandler. Joey is the only ""guest"", because Ross has a date with Mona that night, and Chandler is embarrassed and doesn't really want to have the party at all. The stripper arrives, but turns out to be a hooker. Mr. Green goes to see Ross to yell at him - but unfortunately for Ross, Mona is there, too, so they both start yelling at him. Rachel explains everything to her dad and to Mona, who makes up with Ross.",16.1/25,26.54 million,227408
11/22/01,08-09,The One with the Rumor,Gary Halvorson,Shana Goldberg-Meehan,22,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",12.7/25,24.24 million,227410
12/06/01,08-10,The One with Monica's Boots,Kevin S. Bright,"Story by : Robert Carlock
Teleplay by : Brian Buckner & Sebastian Jones",22,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son.",14.0/23,22.44 million,227409
12/13/01,08-11,The One with Ross's Step Forward,Gary Halvorson,Robert Carlock,22,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; Monica, Phoebe, and Chandler are addicted to Mrs. Pacman.",14.9/25,23.85 million,227411
